Year,Team,matches,wins,draws,losses,goals_for,goals_against,goal_balance,points,points_per_match
1974.0,Scotland,3,1,2,0,3.0,1.0,2.0,5,1.6666666666666667
1974.0,Bulgaria,3,0,2,1,2.0,5.0,-3.0,2,0.6666666666666666
1974.0,Haiti,3,0,0,3,2.0,14.0,-12.0,0,0.0
1974.0,Chile,3,0,2,1,1.0,2.0,-1.0,2,0.6666666666666666
1974.0,Uruguay,3,0,1,2,1.0,6.0,-5.0,1,0.3333333333333333
1974.0,Australia,3,0,1,2,0.0,5.0,-5.0,1,0.3333333333333333
1974.0,Zaire,3,0,0,3,0.0,14.0,-14.0,0,0.0
1978.0,Argentina,7,5,1,1,15.0,4.0,11.0,16,2.2857142857142856
1978.0,Brazil,7,4,3,0,10.0,3.0,7.0,15,2.142857142857143
1978.0,Italy,7,4,1,2,9.0,6.0,3.0,13,1.8571428571428572
1978.0,Netherlands,7,3,2,2,15.0,10.0,5.0,11,1.5714285714285714
1978.0,Austria,6,3,0,3,7.0,10.0,-3.0,9,1.5
1978.0,Poland,6,3,1,2,6.0,6.0,0.0,10,1.6666666666666667
1978.0,Peru,6,2,1,3,7.0,12.0,-5.0,7,1.1666666666666667
1978.0,Germany FR,6,1,4,1,10.0,5.0,5.0,7,1.1666666666666667
1978.0,France,3,1,0,2,5.0,5.0,0.0,3,1.0
1978.0,Scotland,3,1,1,1,5.0,6.0,-1.0,4,1.3333333333333333
1978.0,Tunisia,3,1,1,1,3.0,2.0,1.0,4,1.3333333333333333
1978.0,Spain,3,1,1,1,2.0,2.0,0.0,4,1.3333333333333333
1978.0,Hungary,3,0,0,3,3.0,8.0,-5.0,0,0.0
1978.0,Mexico,3,0,0,3,2.0,12.0,-10.0,0,0.0
1978.0,IR Iran,2,0,1,1,1.0,4.0,-3.0,1,0.5
1978.0,Iran,1,0,0,1,1.0,4.0,-3.0,0,0.0
1978.0,Sweden,3,0,1,2,1.0,3.0,-2.0,1,0.3333333333333333
1982.0,Brazil,5,4,0,1,15.0,6.0,9.0,12,2.4
1982.0,Italy,7,4,3,0,12.0,6.0,6.0,15,2.142857142857143
1982.0,France,7,3,2,2,16.0,12.0,4.0,11,1.5714285714285714
1982.0,Germany FR,7,3,2,2,12.0,10.0,2.0,11,1.5714285714285714
1982.0,Poland,7,3,3,1,11.0,5.0,6.0,12,1.7142857142857142
1982.0,England,5,3,2,0,6.0,1.0,5.0,11,2.2
1982.0,Argentina,5,2,0,3,8.0,7.0,1.0,6,1.2
1982.0,Soviet Union,5,2,2,1,7.0,4.0,3.0,8,1.6
1982.0,Algeria,3,2,0,1,5.0,5.0,0.0,6,2.0
1982.0,Austria,5,2,1,2,5.0,4.0,1.0,7,1.4
1982.0,Belgium,5,2,1,2,3.0,5.0,-2.0,7,1.4
1982.0,Hungary,3,1,1,1,12.0,6.0,6.0,4,1.3333333333333333
1982.0,Scotland,3,1,1,1,8.0,8.0,0.0,4,1.3333333333333333
1982.0,Northern Ireland,5,1,3,1,5.0,7.0,-2.0,6,1.2
1982.0,Spain,5,1,2,2,4.0,5.0,-1.0,5,1.0
1982.0,Yugoslavia,3,1,1,1,2.0,2.0,0.0,4,1.3333333333333333
1982.0,Chile,3,0,0,3,3.0,8.0,-5.0,0,0.0
1982.0,Czechoslovakia,3,0,2,1,2.0,4.0,-2.0,2,0.6666666666666666
1982.0,Honduras,3,0,2,1,2.0,3.0,-1.0,2,0.6666666666666666
1982.0,Kuwait,3,0,1,2,2.0,6.0,-4.0,1,0.3333333333333333
1982.0,New Zealand,3,0,0,3,2.0,12.0,-10.0,0,0.0
1982.0,Peru,3,0,2,1,2.0,6.0,-4.0,2,0.6666666666666666
1982.0,Cameroon,3,0,3,0,1.0,1.0,0.0,3,1.0
1982.0,El Salvador,3,0,0,3,1.0,13.0,-12.0,0,0.0
1986.0,Argentina,7,6,1,0,14.0,5.0,9.0,19,2.7142857142857144
1986.0,France,7,4,2,1,12.0,6.0,6.0,14,2.0
1986.0,Brazil,5,4,1,0,10.0,1.0,9.0,13,2.6
1986.0,Spain,5,3,1,1,11.0,4.0,7.0,10,2.0
1986.0,Denmark,4,3,0,1,10.0,6.0,4.0,9,2.25
1986.0,Germany FR,7,3,2,2,8.0,7.0,1.0,11,1.5714285714285714
1986.0,Mexico,5,3,2,0,6.0,2.0,4.0,11,2.2
1986.0,Belgium,7,2,2,3,12.0,15.0,-3.0,8,1.1428571428571428
1986.0,Soviet Union,4,2,1,1,12.0,5.0,7.0,7,1.75
1986.0,England,5,2,1,2,7.0,3.0,4.0,7,1.4
1986.0,Italy,4,1,2,1,5.0,6.0,-1.0,5,1.25
1986.0,Paraguay,4,1,2,1,4.0,6.0,-2.0,5,1.25
1986.0,Morocco,4,1,2,1,3.0,2.0,1.0,5,1.25
1986.0,Hungary,3,1,0,2,2.0,9.0,-7.0,3,1.0
1986.0,Portugal,3,1,0,2,2.0,4.0,-2.0,3,1.0
1986.0,Poland,4,1,1,2,1.0,7.0,-6.0,4,1.0
1986.0,Korea Republic,3,0,1,2,4.0,7.0,-3.0,1,0.3333333333333333
1986.0,Bulgaria,4,0,2,2,2.0,6.0,-4.0,2,0.5
1986.0,Northern Ireland,3,0,1,2,2.0,6.0,-4.0,1,0.3333333333333333
1986.0,Uruguay,4,0,2,2,2.0,8.0,-6.0,2,0.5
1986.0,Algeria,3,0,1,2,1.0,5.0,-4.0,1,0.3333333333333333
1986.0,Iraq,3,0,0,3,1.0,4.0,-3.0,0,0.0
1986.0,Scotland,3,0,1,2,1.0,3.0,-2.0,1,0.3333333333333333
1986.0,Canada,3,0,0,3,0.0,5.0,-5.0,0,0.0
1990.0,Italy,7,6,1,0,10.0,2.0,8.0,19,2.7142857142857144
1990.0,Germany FR,7,5,2,0,15.0,5.0,10.0,17,2.4285714285714284
1990.0,Czechoslovakia,5,3,0,2,10.0,5.0,5.0,9,1.8
1990.0,England,7,3,3,1,8.0,6.0,2.0,12,1.7142857142857142
1990.0,Yugoslavia,5,3,1,1,8.0,6.0,2.0,10,2.0
1990.0,Cameroon,5,3,0,2,7.0,9.0,-2.0,9,1.8
1990.0,Brazil,4,3,0,1,4.0,2.0,2.0,9,2.25
1990.0,Belgium,4,2,0,2,6.0,4.0,2.0,6,1.5
1990.0,Spain,4,2,1,1,6.0,4.0,2.0,7,1.75
1990.0,Argentina,7,2,3,2,5.0,4.0,1.0,9,1.2857142857142858
1990.0,Costa Rica,4,2,0,2,4.0,6.0,-2.0,6,1.5
1990.0,Colombia,4,1,1,2,4.0,4.0,0.0,4,1.0
1990.0,Romania,4,1,2,1,4.0,3.0,1.0,5,1.25
1990.0,Soviet Union,3,1,0,2,4.0,4.0,0.0,3,1.0
1990.0,Austria,3,1,0,2,2.0,3.0,-1.0,3,1.0
1990.0,Scotland,3,1,0,2,2.0,3.0,-1.0,3,1.0
1990.0,Uruguay,4,1,1,2,2.0,5.0,-3.0,4,1.0
1990.0,Netherlands,4,0,3,1,3.0,4.0,-1.0,3,0.75
1990.0,Sweden,3,0,0,3,3.0,6.0,-3.0,0,0.0
1990.0,USA,3,0,0,3,2.0,8.0,-6.0,0,0.0
1990.0,"rn"">Republic of Ireland",5,0,4,1,2.0,3.0,-1.0,4,0.8
1990.0,"rn"">United Arab Emirates",3,0,0,3,2.0,11.0,-9.0,0,0.0
1990.0,Egypt,3,0,2,1,1.0,2.0,-1.0,2,0.6666666666666666
1990.0,Korea Republic,3,0,0,3,1.0,6.0,-5.0,0,0.0
1994.0,Brazil,7,5,2,0,11.0,3.0,8.0,17,2.4285714285714284
1994.0,Italy,7,4,2,1,8.0,5.0,3.0,14,2.0
1994.0,Sweden,7,3,3,1,15.0,8.0,7.0,12,1.7142857142857142
1994.0,Bulgaria,7,3,1,3,10.0,11.0,-1.0,10,1.4285714285714286
1994.0,Romania,5,3,1,1,10.0,9.0,1.0,10,2.0
1994.0,Germany,5,3,1,1,9.0,7.0,2.0,10,2.0
1994.0,Netherlands,5,3,0,2,8.0,6.0,2.0,9,1.8
1994.0,Spain,5,2,2,1,10.0,6.0,4.0,8,1.6
1994.0,Argentina,4,2,0,2,8.0,6.0,2.0,6,1.5
1994.0,Nigeria,4,2,0,2,7.0,4.0,3.0,6,1.5
1994.0,Saudi Arabia,4,2,0,2,5.0,6.0,-1.0,6,1.5
1994.0,Belgium,4,2,0,2,4.0,4.0,0.0,6,1.5
1994.0,Russia,3,1,0,2,7.0,6.0,1.0,3,1.0
1994.0,Switzerland,4,1,1,2,5.0,7.0,-2.0,4,1.0
1994.0,Colombia,3,1,0,2,4.0,5.0,-1.0,3,1.0
1994.0,Mexico,4,1,2,1,4.0,4.0,0.0,5,1.25
1994.0,USA,4,1,1,2,3.0,4.0,-1.0,4,1.0
1994.0,"rn"">Republic of Ireland",4,1,1,2,2.0,4.0,-2.0,4,1.0
1994.0,Norway,3,1,1,1,1.0,1.0,0.0,4,1.3333333333333333
1994.0,Korea Republic,3,0,2,1,4.0,5.0,-1.0,2,0.6666666666666666
1994.0,Cameroon,3,0,1,2,3.0,11.0,-8.0,1,0.3333333333333333
1994.0,Morocco,3,0,0,3,2.0,5.0,-3.0,0,0.0
1994.0,Bolivia,3,0,1,2,1.0,4.0,-3.0,1,0.3333333333333333
1994.0,Greece,3,0,0,3,0.0,10.0,-10.0,0,0.0
1998.0,France,7,6,1,0,15.0,2.0,13.0,19,2.7142857142857144
1998.0,Croatia,7,5,0,2,11.0,5.0,6.0,15,2.142857142857143
1998.0,Brazil,7,4,1,2,14.0,10.0,4.0,13,1.8571428571428572
1998.0,Netherlands,7,3,3,1,13.0,7.0,6.0,12,1.7142857142857142
1998.0,Argentina,5,3,1,1,10.0,4.0,6.0,10,2.0
1998.0,Germany,5,3,1,1,8.0,6.0,2.0,10,2.0
1998.0,Italy,5,3,2,0,8.0,3.0,5.0,11,2.2
1998.0,Denmark,5,2,1,2,9.0,7.0,2.0,7,1.4
1998.0,England,4,2,1,1,7.0,4.0,3.0,7,1.75
1998.0,Nigeria,4,2,0,2,6.0,9.0,-3.0,6,1.5
1998.0,Yugoslavia,4,2,1,1,5.0,4.0,1.0,7,1.75
1998.0,Romania,4,2,1,1,4.0,3.0,1.0,7,1.75
1998.0,Mexico,4,1,2,1,8.0,7.0,1.0,5,1.25
1998.0,Spain,3,1,1,1,8.0,4.0,4.0,4,1.3333333333333333
1998.0,Morocco,3,1,1,1,5.0,5.0,0.0,4,1.3333333333333333
1998.0,Norway,4,1,2,1,5.0,5.0,0.0,5,1.25
1998.0,Jamaica,3,1,0,2,3.0,9.0,-6.0,3,1.0
1998.0,Paraguay,4,1,2,1,3.0,2.0,1.0,5,1.25
1998.0,Iran,3,1,0,2,2.0,4.0,-2.0,3,1.0
1998.0,Colombia,3,1,0,2,1.0,3.0,-2.0,3,1.0
1998.0,Chile,4,0,3,1,5.0,8.0,-3.0,3,0.75
1998.0,Austria,3,0,2,1,3.0,4.0,-1.0,2,0.6666666666666666
1998.0,Belgium,3,0,3,0,3.0,3.0,0.0,3,1.0
1998.0,South Africa,3,0,2,1,3.0,6.0,-3.0,2,0.6666666666666666
1998.0,Cameroon,3,0,2,1,2.0,5.0,-3.0,2,0.6666666666666666
1998.0,Korea Republic,3,0,1,2,2.0,9.0,-7.0,1,0.3333333333333333
1998.0,Saudi Arabia,3,0,1,2,2.0,7.0,-5.0,1,0.3333333333333333
1998.0,Scotland,3,0,1,2,2.0,6.0,-4.0,1,0.3333333333333333
1998.0,Bulgaria,3,0,1,2,1.0,7.0,-6.0,1,0.3333333333333333
1998.0,Japan,3,0,0,3,1.0,4.0,-3.0,0,0.0
1998.0,Tunisia,3,0,1,2,1.0,4.0,-3.0,1,0.3333333333333333
1998.0,USA,3,0,0,3,1.0,5.0,-4.0,0,0.0
2002.0,Brazil,7,7,0,0,18.0,4.0,14.0,21,3.0
2002.0,Germany,7,5,1,1,14.0,3.0,11.0,16,2.2857142857142856
2002.0,Turkey,7,4,1,2,10.0,6.0,4.0,13,1.8571428571428572
2002.0,Spain,5,3,2,0,10.0,5.0,5.0,11,2.2
2002.0,Korea Republic,7,3,2,2,8.0,6.0,2.0,11,1.5714285714285714
2002.0,Senegal,5,2,2,1,7.0,6.0,1.0,8,1.6
2002.0,USA,5,2,1,2,7.0,7.0,0.0,7,1.4
2002.0,England,5,2,2,1,6.0,3.0,3.0,8,1.6
2002.0,Denmark,4,2,1,1,5.0,5.0,0.0,7,1.75
2002.0,Japan,4,2,1,1,5.0,3.0,2.0,7,1.75
2002.0,Mexico,4,2,1,1,4.0,4.0,0.0,7,1.75
2002.0,Belgium,4,1,2,1,6.0,7.0,-1.0,5,1.25
2002.0,Paraguay,4,1,1,2,6.0,7.0,-1.0,4,1.0
2002.0,Portugal,3,1,0,2,6.0,4.0,2.0,3,1.0
2002.0,"rn"">Republic of Ireland",4,1,3,0,6.0,3.0,3.0,6,1.5
2002.0,Costa Rica,3,1,1,1,5.0,6.0,-1.0,4,1.3333333333333333
2002.0,Italy,4,1,1,2,5.0,5.0,0.0,4,1.0
2002.0,South Africa,3,1,1,1,5.0,5.0,0.0,4,1.3333333333333333
2002.0,Sweden,4,1,2,1,5.0,5.0,0.0,5,1.25
2002.0,Russia,3,1,0,2,4.0,4.0,0.0,3,1.0
2002.0,Poland,3,1,0,2,3.0,7.0,-4.0,3,1.0
2002.0,Argentina,3,1,1,1,2.0,2.0,0.0,4,1.3333333333333333
2002.0,Cameroon,3,1,1,1,2.0,3.0,-1.0,4,1.3333333333333333
2002.0,Croatia,3,1,0,2,2.0,3.0,-1.0,3,1.0
2002.0,Ecuador,3,1,0,2,2.0,4.0,-2.0,3,1.0
2002.0,Uruguay,3,0,2,1,4.0,5.0,-1.0,2,0.6666666666666666
2002.0,Slovenia,3,0,0,3,2.0,7.0,-5.0,0,0.0
2002.0,Nigeria,3,0,1,2,1.0,3.0,-2.0,1,0.3333333333333333
2002.0,Tunisia,3,0,1,2,1.0,5.0,-4.0,1,0.3333333333333333
2002.0,China PR,3,0,0,3,0.0,9.0,-9.0,0,0.0
2002.0,France,3,0,1,2,0.0,3.0,-3.0,1,0.3333333333333333
2002.0,Saudi Arabia,3,0,0,3,0.0,12.0,-12.0,0,0.0
2006.0,Germany,7,5,1,1,14.0,6.0,8.0,16,2.2857142857142856
2006.0,Italy,7,5,2,0,12.0,2.0,10.0,17,2.4285714285714284
2006.0,Brazil,5,4,0,1,10.0,2.0,8.0,12,2.4
2006.0,France,7,4,3,0,9.0,3.0,6.0,15,2.142857142857143
2006.0,Portugal,7,4,1,2,7.0,5.0,2.0,13,1.8571428571428572
2006.0,Argentina,5,3,2,0,11.0,3.0,8.0,11,2.2
2006.0,Spain,4,3,0,1,9.0,4.0,5.0,9,2.25
2006.0,England,5,3,2,0,6.0,2.0,4.0,11,2.2
2006.0,Ecuador,4,2,0,2,5.0,4.0,1.0,6,1.5
2006.0,Ukraine,5,2,1,2,5.0,7.0,-2.0,7,1.4
2006.0,Ghana,4,2,0,2,4.0,6.0,-2.0,6,1.5
2006.0,Switzerland,4,2,2,0,4.0,0.0,4.0,8,2.0
2006.0,Netherlands,4,2,1,1,3.0,2.0,1.0,7,1.75
2006.0,Australia,4,1,1,2,5.0,6.0,-1.0,4,1.0
2006.0,C�te d'Ivoire,3,1,0,2,5.0,6.0,-1.0,3,1.0
2006.0,Mexico,4,1,1,2,5.0,5.0,0.0,4,1.0
2006.0,Czech Republic,3,1,0,2,3.0,4.0,-1.0,3,1.0
2006.0,Korea Republic,3,1,1,1,3.0,4.0,-1.0,4,1.3333333333333333
2006.0,Sweden,4,1,2,1,3.0,4.0,-1.0,5,1.25
2006.0,Paraguay,3,1,0,2,2.0,2.0,0.0,3,1.0
2006.0,Poland,3,1,0,2,2.0,4.0,-2.0,3,1.0
2006.0,Costa Rica,3,0,0,3,3.0,9.0,-6.0,0,0.0
2006.0,Tunisia,3,0,1,2,3.0,6.0,-3.0,1,0.3333333333333333
2006.0,Croatia,3,0,2,1,2.0,3.0,-1.0,2,0.6666666666666666
2006.0,Iran,2,0,1,1,2.0,4.0,-2.0,1,0.5
2006.0,Japan,3,0,1,2,2.0,7.0,-5.0,1,0.3333333333333333
2006.0,Saudi Arabia,3,0,1,2,2.0,7.0,-5.0,1,0.3333333333333333
2006.0,USA,3,0,1,2,2.0,6.0,-4.0,1,0.3333333333333333
2006.0,"rn"">Serbia and Montenegro",3,0,0,3,2.0,10.0,-8.0,0,0.0
2006.0,Angola,3,0,2,1,1.0,2.0,-1.0,2,0.6666666666666666
2006.0,Togo,3,0,0,3,1.0,6.0,-5.0,0,0.0
